"id","name","rating","current_price","original_price","discount","ram","rom","features1","features2"
0,"realme P1 5G (Peacock Green, 128 GB)","4.4","₹15,999","₹20,999","23%","6 GB RAM "," 128 GB ROM "," Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatteryDimensity 7050 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories"
1,"Motorola G34 5G (Ocean Green, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G ProcessorVegan Leather Design1 Year on Handset and 6 Months on Accessories",NULL
2,"Motorola G34 5G (Charcoal Black, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories",NULL
3,"Motorola G34 5G (Ice Blue, 128 GB)","4.2","₹11,999","₹14,999","20%","8 GB RAM "," 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP "," 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories",NULL
4,"POCO M6 Pro 5G (Power Black, 128 GB)","4.3","₹9,999","₹16,999","41%","6 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 2MP "," 8MP Front Camera5000 mAh BatterySnapdragon 4 Gen 2 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories"
5,"POCO C65 (Matte Black, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
6,"POCO C65 (Pastel Blue, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
7,"Motorola g04s (Satin Blue, 64 GB)","4.3","₹6,999","₹9,999","30%","4 GB RAM "," 64 GB ROM "," Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera "," 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories"
8,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","4.4","₹18,995","₹21,999","13%","8 GB RAM "," 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
9,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","4.4","₹19,945","₹21,999","9%","8 GB RAM "," 256 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
10,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","4.4","₹16,932","₹19,999","15%","8 GB RAM "," 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
11,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","4.4","₹16,919","₹19,999","15%","8 GB RAM "," 128 GB ROM17.07 cm (6.72 inch) Display108MP Rear Camera5000 mAh BatteryDomestic Warranty of 12 months on phone & 6 months on accessories",NULL,NULL
12,"POCO C65 (Pastel Green, 128 GB)","4.2","₹6,799","₹10,999","38%","4 GB RAM "," 128 GB ROM "," Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP "," 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories"
13,"Motorola g04s (Concord Black, 64 GB)","4.3","₹6,999","₹9,999","30%","4 GB RAM "," 64 GB ROM "," Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera "," 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories"
14,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","4.1","₹1,287","₹1,599","19%","32 MB RAM "," 32 MB ROM4.5 cm (1.77 inch) Display0MP "," 0MP Front Camera1000 mAh BatterySC6531E ProcessorNO WARRANTY",NULL
